Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,,Date,epoch
1728,1740,1702.1,1731,1724.371712,9997,464,17238544,4587,45.88,37.9,3,,1/1/08,1199145600
1739,1744,1695,1716.15,1717.411729,43140,1277,74089142,17464,40.48,49,-22.85,,1/2/08,1199232000
1700,1710,1690,1697.35,1701.441783,487798,1125,829959899,456905,93.67,20,-2.65,,1/3/08,1199318400
1700,1720,1692,1697.45,1699.894269,77943,771,132494859,14464,18.56,28,-2.55,,1/4/08,1199404800
1665,1680.8,1637,1657,1657.947195,65107,2227,107943968,26558,40.79,43.8,-8,,1/7/08,1199664000
1715,1722,1680,1716.3,1704.782452,183803,2293,313344129,129355,70.38,42,1.3,,1/8/08,1199750400
1695,1767,1695,1745.1,1744.876912,172697,2444,301335008,121375,70.28,72,50.1,,1/9/08,1199836800
1756.1,1787.45,1705,1719.9,1755.465322,69266,2138,121594061,31166,44.99,82.45,-36.2,,1/10/08,1199923200
1749.9,1778,1722.15,1762.35,1743.664677,50265,1563,87645305,17632,35.08,55.85,12.45,,1/11/08,1200009600
1760,1825,1749.5,1787.9,1802.997636,176371,2414,317996496,95276,54.02,75.5,27.9,,1/14/08,1200268800
1806.5,1820.55,1760,1785.1,1803.402463,355707,1372,641482880,317666,89.31,60.55,-21.4,,1/15/08,1200355200
1750,1750,1653,1675.85,1682.606216,172432,3096,290135155,103989,60.31,97,-74.15,,1/16/08,1200441600
1699,1699,1616,1647.1,1643.42617,73351,2099,120546953,32057,43.7,83,-51.9,,1/17/08,1200528000
1629,1629,1564,1575.85,1591.191689,128943,3113,205173030,66620,51.67,65,-53.15,,1/18/08,1200614400
1575,1575,1485,1517.55,1508.260582,99742,2246,150436927,64062,64.23,90,-57.45,,1/21/08,1200873600
1450,1575,1325.05,1439.65,1451.154446,181261,2229,263037706,113555,62.65,249.95,-10.35,,1/22/08,1200960000
1451,1604.95,1400,1534.75,1513.62863,127393,2659,192825692,62530,49.08,204.95,83.75,,1/23/08,1201046400
1565,1599,1471,1507.2,1524.692477,101111,1851,154163181,64164,63.46,128,-57.8,,1/24/08,1201132800
1570,1669.9,1526,1601.4,1611.283938,103403,2598,166611593,58685,56.75,143.9,31.4,,1/25/08,1201219200
1555,1599,1440,1585,1524.431163,52377,3209,79845131,12261,23.41,159,30,,1/28/08,1201478400
1635,1635,1500,1531.75,1547.57714,334281,3044,517325634,284205,85.02,135,-103.25,,1/29/08,1201564800
1535.05,1552,1507,1531.8,1529.168637,23352,1323,35709146,6958,29.8,45,-3.25,,1/30/08,1201651200
1535,1588,1507,1568,1554.01458,32374,1464,50309668,8631,26.66,81,33,,1/31/08,1201737600
1599,1599,1488,1567.25,1536.14254,58917,2054,90504910,20653,35.05,111,-31.75,,2/1/08,1201824000
1590,1615,1525.3,1548.25,1582.467507,75201,1940,119003139,43881,58.35,89.7,-41.75,,2/4/08,1202083200
1565,1580,1504,1515.1,1526.380557,86878,1777,132608890,58027,66.79,76,-49.9,,2/5/08,1202169600
1456.55,1515,1450,1497.75,1491.07448,141809,2648,211447781,78681,55.48,65,41.2,,2/6/08,1202256000
1503,1538.7,1482.05,1491.65,1491.879986,1081504,2188,1613474172,1042833,96.42,56.65,-11.35,,2/7/08,1202342400
1510,1510,1430,1445.95,1464.516942,33172,1779,48580956,12211,36.81,80,-64.05,,2/8/08,1202428800
1410.2,1475,1358,1410.45,1395.592854,94099,2544,131323892,39236,41.7,117,0.25,,2/11/08,1202688000
1425,1448,1390,1398.9,1408.909118,80214,1748,113014236,32182,40.12,58,-26.1,,2/12/08,1202774400
1440.9,1487,1420.05,1467.05,1464.760064,43249,1652,63349408,15454,35.73,66.95,26.15,,2/13/08,1202860800
1495,1553,1489.75,1539.1,1537.160778,61302,2373,94231030,25547,41.67,63.25,44.1,,2/14/08,1202947200
1505,1575,1492,1564.1,1543.364786,36860,1900,56888426,9728,26.39,83,59.1,,2/15/08,1203033600
1574.8,1594.85,1542.55,1557,1556.815322,21172,1202,32960894,4121,19.46,52.3,-17.8,,2/18/08,1203292800
1560,1578,1552.3,1568.4,1567.689066,13691,802,21463231,7103,51.88,25.7,8.4,,2/19/08,1203379200
1560,1566.85,1510,1534.5,1526.364174,31949,1310,48765809,8285,25.93,56.85,-25.5,,2/20/08,1203465600
1574.8,1574.8,1496.1,1542.9,1533.957827,40215,1559,61688114,11599,28.84,78.7,-31.9,,2/21/08,1203552000
1502,1539.95,1465.2,1474.95,1495.296236,52394,2360,78344551,21179,40.42,74.75,-27.05,,2/22/08,1203638400
1499.9,1524,1397.1,1422.7,1422.484151,712620,11842,1013690656,554916,77.87,126.9,-77.2,,2/25/08,1203897600
1430,1469.85,1430,1455,1457.070957,91858,3651,133843624,36690,39.94,39.85,25,,2/26/08,1203984000
1469,1482,1441,1451.75,1464.363883,47867,2357,70094706,17245,36.03,41,-17.25,,2/27/08,1204070400
1450,1490,1450,1471.05,1466.755029,110507,3123,162086698,27754,25.12,40,21.05,,2/28/08,1204156800
1460,1470,1425,1453.45,1449.015205,76093,2821,110259914,40093,52.69,45,-6.55,,2/29/08,1204243200
1439.4,1439.4,1365.4,1390.55,1398.975618,53399,2930,74703899,27904,52.26,74,-48.85,,3/3/08,1204502400
1400,1400,1290,1357.3,1348.059101,81115,3682,109347814,21854,26.94,110,-42.7,,3/4/08,1204588800
1389,1389,1325.15,1336.4,1337.365298,54925,1811,73454789,26325,47.93,63.85,-52.6,,3/5/08,1204675200
1330,1349.7,1253,1286.3,1278.936772,109050,2767,139468055,72889,66.84,96.7,-43.7,,3/7/08,1204848000
1250,1328,1226,1310.85,1271.747423,56561,2370,71931306,22624,40,102,60.85,,3/10/08,1205107200
